DateTime,Media_Temperatura,Low_Temp,High_Temp,Media_Umidita,Date,Numero_Insetti
2024-07-30 12:00:00,34.98,"34,8","35,1","35,38",2024-07-30,0
2024-07-30 13:00:00,35.08,"34,8","35,3","33,89",2024-07-30,0
2024-07-30 14:00:00,35.14,"34,8","35,5","33,49",2024-07-30,0
2024-07-30 15:00:00,34.4,"33,9","34,8","35,22",2024-07-30,0
2024-07-30 16:00:00,33.11,"32,6",34,"35,3",2024-07-30,0
2024-07-30 17:00:00,32.18,"31,5","32,7","34,67",2024-07-30,0
2024-07-30 18:00:00,29.8,"28,1","31,2","38,26",2024-07-30,0
2024-07-30 19:00:00,27.23,"26,6","27,8","41,87",2024-07-30,0
2024-07-30 20:00:00,25.48,"24,8","26,3","46,15",2024-07-30,0
2024-07-30 21:00:00,23.97,23,"24,8","54,17",2024-07-30,0
2024-07-30 22:00:00,22.43,"22,3","22,7","62,64",2024-07-30,0
2024-07-30 23:00:00,22.35,"22,1","22,7","64,17",2024-07-30,0
2024-07-31 00:00:00,22.81,"22,4","23,2","63,45",2024-07-31,0
2024-07-31 01:00:00,21.67,"21,2","22,2","67,49",2024-07-31,0
2024-07-31 02:00:00,21.25,"21,1","21,5","68,79",2024-07-31,0
2024-07-31 03:00:00,20.71,"20,5","20,9","71,13",2024-07-31,0
2024-07-31 04:00:00,20.33,"20,2","20,4","72,8",2024-07-31,0
2024-07-31 05:00:00,21.31,"20,3","22,1","71,2",2024-07-31,0
2024-07-31 06:00:00,23.95,"22,3","25,8","64,55",2024-07-31,0
2024-07-31 07:00:00,28.23,"26,2","30,3","52,47",2024-07-31,0
2024-07-31 08:00:00,32.09,"30,7","33,2","42,21",2024-07-31,0
2024-07-31 09:00:00,33.77,"33,1","34,6","37,65",2024-07-31,0
2024-07-31 10:00:00,35.07,"34,1","35,9","35,43",2024-07-31,0
2024-07-31 11:00:00,36.74,"36,1","37,6","32,78",2024-07-31,0
2024-07-31 12:00:00,37.42,"37,1","37,8","32,03",2024-07-31,0
2024-07-31 13:00:00,38.14,"37,8","38,4","31,02",2024-07-31,0
2024-07-31 14:00:00,38.28,38,"38,7","31,31",2024-07-31,0
2024-07-31 15:00:00,38.25,"38,1","38,5","31,28",2024-07-31,0
2024-07-31 16:00:00,36.4,"34,8","37,8","34,55",2024-07-31,0
2024-07-31 17:00:00,33.72,"32,7","34,5","40,01",2024-07-31,0
2024-07-31 18:00:00,30.95,"29,6","32,3","46,4",2024-07-31,0
2024-07-31 19:00:00,28.25,27,"29,3","53,02",2024-07-31,0
2024-07-31 20:00:00,25.85,"25,3","26,6","62,99",2024-07-31,0
2024-07-31 21:00:00,24.44,"23,9","25,1","68,2",2024-07-31,0
2024-07-31 22:00:00,23.85,"23,5","24,1","61,68",2024-07-31,0
2024-07-31 23:00:00,22.93,"22,6","23,6","60,97",2024-07-31,0
2024-08-01 00:00:00,23.77,"22,9","24,1","55,79",2024-08-01,0
2024-08-01 01:00:00,22.91,"22,5","23,8","59,66",2024-08-01,0
2024-08-01 02:00:00,23.92,"22,6",25,"56,23",2024-08-01,0
2024-08-01 03:00:00,24.75,"24,1","25,1","55,15",2024-08-01,0
2024-08-01 04:00:00,24.12,"23,7","24,9","59,85",2024-08-01,0
2024-08-01 05:00:00,23.77,"23,5","24,3","64,53",2024-08-01,0
2024-08-01 06:00:00,26.31,"24,6",28,"59,37",2024-08-01,0
