DateTime,Media_Temperatura,Low_Temp,High_Temp,Media_Umidita,Date,Numero_Insetti
2024-08-02 10:00:00,32.2,"31,6",33,"45,49",2024-08-02,0
2024-08-02 11:00:00,33.84,"33,1","34,4","42,73",2024-08-02,0
2024-08-02 12:00:00,34.74,"34,2","35,3","41,34",2024-08-02,0
2024-08-02 13:00:00,35.61,"35,1","36,6","40,14",2024-08-02,0
2024-08-02 14:00:00,35.7,"35,1","36,2","40,26",2024-08-02,0
2024-08-02 15:00:00,32.54,"31,1","34,7","51,53",2024-08-02,0
2024-08-02 16:00:00,32.5,"31,3","33,4","54,54",2024-08-02,0
2024-08-02 17:00:00,29.93,"29,1","31,1","60,55",2024-08-02,0
2024-08-02 18:00:00,28.46,"27,6","29,1","65,11",2024-08-02,0
2024-08-02 19:00:00,26.79,"26,4","27,3","71,15",2024-08-02,0
2024-08-02 20:00:00,25.63,"25,3","26,3","75,45",2024-08-02,0
2024-08-02 21:00:00,24.58,"24,2","25,3","78,43",2024-08-02,0
2024-08-02 22:00:00,23.75,"23,5","24,2","82,86",2024-08-02,0
2024-08-02 23:00:00,23.51,"23,2","23,9","84,86",2024-08-02,0
2024-08-03 00:00:00,23.73,"23,2","24,2","85,23",2024-08-03,0
2024-08-03 01:00:00,23.56,"23,3","23,7","85,62",2024-08-03,0
2024-08-03 02:00:00,23.02,"22,9","23,2","88,12",2024-08-03,0
2024-08-03 03:00:00,22.76,"22,6","23,1","89,54",2024-08-03,0
2024-08-03 04:00:00,22.63,"22,2","23,3","90,49",2024-08-03,0
2024-08-03 05:00:00,23.91,"23,3","25,2","87,44",2024-08-03,0
2024-08-03 06:00:00,26.46,"25,4","28,2","76,24",2024-08-03,0
2024-08-03 07:00:00,29.08,"28,3","30,2","64,97",2024-08-03,0
2024-08-03 08:00:00,29.95,"28,9","30,4","60,6",2024-08-03,0
2024-08-03 09:00:00,29.9,"29,2","30,6","63,48",2024-08-03,0
2024-08-03 10:00:00,28.34,"26,1",31,"61,51",2024-08-03,0
2024-08-03 11:00:00,24.06,"22,7","25,9","69,89",2024-08-03,0
2024-08-03 12:00:00,25.12,"24,4","25,9","68,58",2024-08-03,0
2024-08-03 13:00:00,26.9,"26,1","28,2","62,97",2024-08-03,0
2024-08-03 14:00:00,28.66,"27,9",30,"58,18",2024-08-03,0
2024-08-03 15:00:00,30.04,29,"31,5","51,41",2024-08-03,0
2024-08-03 16:00:00,31.36,"31,1","31,5","46,25",2024-08-03,0
2024-08-03 17:00:00,29.21,"27,3","30,5","51,24",2024-08-03,0
2024-08-03 18:00:00,25.82,"25,2","26,5","63,78",2024-08-03,0
2024-08-03 19:00:00,24.74,"23,8","25,6","68,92",2024-08-03,0
2024-08-03 20:00:00,22.22,"21,4","23,6","79,23",2024-08-03,0
2024-08-03 21:00:00,21.04,"20,7","21,4","85,36",2024-08-03,0
2024-08-03 22:00:00,20.49,20,"20,7","89,14",2024-08-03,0
2024-08-03 23:00:00,19.96,"19,7","20,2","91,57",2024-08-03,0
2024-08-04 00:00:00,20.28,"19,9","20,8","90,29",2024-08-04,0
2024-08-04 01:00:00,20.35,"19,4","20,9","88,36",2024-08-04,0
2024-08-04 02:00:00,19.3,"19,2","19,4","92,71",2024-08-04,0
2024-08-04 03:00:00,19.91,"19,4","20,3","89,57",2024-08-04,0
2024-08-04 04:00:00,18.96,"18,5","19,7","92,25",2024-08-04,0
2024-08-04 05:00:00,20.52,"18,8","22,1","85,7",2024-08-04,0
2024-08-04 06:00:00,23.49,"21,9","25,2","74,68",2024-08-04,0
2024-08-04 07:00:00,26.47,"25,2","28,2","64,1",2024-08-04,0
2024-08-04 08:00:00,30.12,"28,4","31,3","55,22",2024-08-04,0
2024-08-04 09:00:00,31.38,"30,8","31,9","49,4",2024-08-04,0
2024-08-04 10:00:00,31.95,"30,8",33,"44,94",2024-08-04,0
2024-08-04 11:00:00,33.15,"32,6","33,9","41,7",2024-08-04,0
2024-08-04 12:00:00,33.43,"32,9","34,3","41,11",2024-08-04,0
2024-08-04 13:00:00,34.31,"33,2","35,2","38,11",2024-08-04,0
2024-08-04 14:00:00,34.76,"34,4","35,1","37,34",2024-08-04,0
2024-08-04 15:00:00,33.48,"32,7","34,4","39,96",2024-08-04,0
2024-08-04 16:00:00,33.0,"32,6","33,5","35,52",2024-08-04,0
2024-08-04 17:00:00,31.13,"30,5","32,3","38,01",2024-08-04,0
2024-08-04 18:00:00,28.93,"27,3","30,3","43,22",2024-08-04,0
2024-08-04 19:00:00,25.98,"25,6",27,"53,57",2024-08-04,0
2024-08-04 20:00:00,24.95,"23,1","25,8","57,25",2024-08-04,0
2024-08-04 21:00:00,21.95,"21,3","22,7","69,72",2024-08-04,0
2024-08-04 22:00:00,20.61,"20,3","21,1","76,44",2024-08-04,0
2024-08-05 00:00:00,20.3,"20,2","20,5","78,43",2024-08-05,0
2024-08-05 01:00:00,19.84,"19,6","20,3","79,81",2024-08-05,0
2024-08-05 02:00:00,20.24,"19,7","20,8","77,94",2024-08-05,0
2024-08-05 03:00:00,20.39,"20,2","20,5","75,45",2024-08-05,0
2024-08-05 04:00:00,20.18,"19,8","20,5","72,35",2024-08-05,0
2024-08-05 05:00:00,19.65,"19,2","20,1","72,17",2024-08-05,0
2024-08-05 06:00:00,19.2,"18,8","19,7","73,05",2024-08-05,0
2024-08-05 07:00:00,20.19,"19,5","21,9","70,59",2024-08-05,0
2024-08-05 08:00:00,24.35,"22,5","25,8","54,34",2024-08-05,0
2024-08-05 09:00:00,28.23,"26,2","30,7","43,52",2024-08-05,0
2024-08-05 10:00:00,31.45,"30,6","32,3","40,51",2024-08-05,0
2024-08-05 11:00:00,33.09,"32,4","33,7","38,26",2024-08-05,0
2024-08-05 12:00:00,33.72,"33,1","34,6","35,81",2024-08-05,0
2024-08-05 13:00:00,34.6,"33,9","35,7","33,93",2024-08-05,0
2024-08-05 14:00:00,35.57,"35,3","35,9","31,64",2024-08-05,0
2024-08-05 15:00:00,35.25,"34,9","35,5","32,23",2024-08-05,0
2024-08-05 16:00:00,34.83,"33,9",36,"36,73",2024-08-05,0
2024-08-05 17:00:00,34.11,"33,6","34,7","38,83",2024-08-05,0
2024-08-05 18:00:00,33.43,33,"33,9","39,32",2024-08-05,0
2024-08-05 19:00:00,31.69,"30,9","33,1","43,53",2024-08-05,0
2024-08-05 20:00:00,29.37,28,"30,6","51,06",2024-08-05,0
2024-08-05 21:00:00,27.14,"26,6","27,8","60,32",2024-08-05,0
2024-08-05 22:00:00,25.93,"25,2","26,6","66,78",2024-08-05,0
2024-08-05 23:00:00,24.15,"23,3","25,3","73,99",2024-08-05,0
2024-08-06 00:00:00,23.65,"23,2","24,2","75,22",2024-08-06,0
2024-08-06 01:00:00,23.15,23,"23,5","76,95",2024-08-06,0
2024-08-06 02:00:00,22.44,"22,1","22,8","79,69",2024-08-06,0
2024-08-06 03:00:00,22.25,"21,6","22,5","79,75",2024-08-06,0
2024-08-06 04:00:00,21.31,21,"21,4","83,62",2024-08-06,0
2024-08-06 05:00:00,20.75,"20,3","21,1","86,38",2024-08-06,0
2024-08-06 06:00:00,20.37,"20,1","20,9","88,32",2024-08-06,0
2024-08-06 07:00:00,21.9,"20,9","23,7","82,07",2024-08-06,0
2024-08-06 08:00:00,25.57,24,"27,2","67,94",2024-08-06,0
2024-08-06 09:00:00,28.74,"27,4","30,1","58,39",2024-08-06,0
2024-08-06 10:00:00,31.47,"30,2","32,6","52,78",2024-08-06,0
2024-08-06 11:00:00,32.68,"32,2",33,"48,28",2024-08-06,0
2024-08-06 12:00:00,33.34,"32,6",34,"46,67",2024-08-06,0
2024-08-06 13:00:00,34.31,"33,4","34,9","43,05",2024-08-06,0
2024-08-06 14:00:00,34.96,"34,3","35,6","39,22",2024-08-06,0
2024-08-06 15:00:00,35.67,"35,3","36,2","37,5",2024-08-06,0
