Dati meteo storici,,,,
DateTime,Media Temperatura,Temperatura Intervallo,,Media Umidità
,,low,high,
30.07.2024 17:00:00,"33,64","33,5",34,"35,86"
30.07.2024 18:00:00,"33,25","32,9","33,5","34,76"
30.07.2024 19:00:00,"32,69","30,9","33,4","33,67"
30.07.2024 20:00:00,"29,39","28,2","30,5","38,83"
30.07.2024 21:00:00,"27,58",27,"28,1","41,18"
30.07.2024 22:00:00,"26,06",25,"26,9","45,26"
30.07.2024 23:00:00,"23,72","22,4","24,7","54,9"
31.07.2024 00:00:00,"21,55","21,3","22,2","66,85"
31.07.2024 01:00:00,"21,83","21,3","22,5","66,76"
31.07.2024 02:00:00,"22,7","22,4","23,1","64,72"
31.07.2024 03:00:00,"21,69","20,8","22,5","68,6"
31.07.2024 04:00:00,"21,1","20,4","22,3","70,59"
31.07.2024 05:00:00,"20,21","19,9","20,4","73,98"
31.07.2024 06:00:00,"19,82","19,7",20,"76,24"
31.07.2024 07:00:00,"21,1","19,8","22,6","73,78"
31.07.2024 08:00:00,"24,18","22,8","25,7","64,26"
31.07.2024 09:00:00,"27,85",26,"29,6","54,1"
31.07.2024 10:00:00,"31,28",30,"32,7","44,02"
31.07.2024 11:00:00,"33,87",33,35,"36,87"
31.07.2024 12:00:00,"35,31","34,2","36,3","34,65"
31.07.2024 13:00:00,"36,97","36,8","37,6","32,35"
31.07.2024 14:00:00,"37,67","37,1","38,3","31,38"
31.07.2024 15:00:00,"38,4",38,"38,8","30,57"
31.07.2024 16:00:00,"38,24","37,7","38,7","30,94"
31.07.2024 17:00:00,"38,16","37,4","38,5","31,18"
31.07.2024 18:00:00,"36,14","35,1","37,3","34,73"
31.07.2024 19:00:00,"33,95","32,5",35,"39,5"
31.07.2024 20:00:00,"30,76","29,8",32,"47,09"
31.07.2024 21:00:00,"28,71","27,9","29,6","52,13"
31.07.2024 22:00:00,"26,57",26,"27,7","61,15"
31.07.2024 23:00:00,"23,97",23,"25,8","72,28"
01.08.2024 00:00:00,"23,25","22,6","23,9","65,39"
01.08.2024 01:00:00,"23,34",23,24,"60,45"
01.08.2024 02:00:00,"24,13","23,4","24,7","54,87"
01.08.2024 03:00:00,"22,97","22,5",24,"59,15"
01.08.2024 04:00:00,"25,38","24,6","25,7","52,04"
01.08.2024 05:00:00,"25,74","25,5",26,"52,67"
01.08.2024 06:00:00,"24,81","24,1","25,6","58,3"
01.08.2024 07:00:00,"24,27",24,"24,8","65,17"
01.08.2024 08:00:00,"26,58",25,"27,9","59,24"
01.08.2024 09:00:00,"29,64","28,3","31,2","51,88"
01.08.2024 10:00:00,"32,39","31,4","33,3","47,2"
01.08.2024 11:00:00,"34,77","33,9","35,3","43,74"
01.08.2024 12:00:00,"36,76","35,7","37,5","40,55"
01.08.2024 13:00:00,"38,22","37,7","38,9","37,43"
01.08.2024 14:00:00,"39,26","38,4","39,9","32,91"
01.08.2024 15:00:00,"39,63","39,1",40,"31,56"
01.08.2024 16:00:00,"39,51","39,2","39,9","31,42"
01.08.2024 17:00:00,"38,3","37,5","38,8","33,45"
01.08.2024 18:00:00,"37,15","36,4","37,6","29,79"
