Grafico delle catture,,,,
DateTime,Numero di insetti,Nuove catture (per evento),Recensito,Evento
31.07.2024 00:00:00,0,0,Si,
01.08.2024 00:01:00,0,0,Si,
02.08.2024 00:03:00,0,0,Si,
03.08.2024 00:00:00,0,0,Si,
03.08.2024 00:12:59,,,Si,Cleaning
04.08.2024 00:04:00,0,0,Si,
05.08.2024 00:00:00,0,0,Si,
06.08.2024 00:01:00,0,0,Si,
07.08.2024 00:03:00,0,0,Si,
08.08.2024 00:04:00,0,0,Si,
09.08.2024 00:04:00,0,0,Si,
10.08.2024 00:01:00,0,0,Si,
11.08.2024 00:02:00,0,0,Si,
11.08.2024 00:13:59,,,Si,Cleaning
12.08.2024 00:00:00,0,0,Si,
13.08.2024 00:01:00,0,0,Si,
14.08.2024 00:03:00,0,0,Si,
15.08.2024 00:04:00,0,0,Si,
16.08.2024 00:02:00,0,0,Si,
17.08.2024 00:03:00,0,0,Si,
18.08.2024 00:00:00,1,1,Si,
18.08.2024 00:10:59,,,Si,Cleaning
19.08.2024 00:02:00,0,0,Si,
20.08.2024 00:03:00,0,0,Si,
21.08.2024 00:05:00,0,0,Si,
22.08.2024 00:01:00,0,0,Si,
23.08.2024 00:03:00,0,0,Si,
